0,eaf file,формат слоёв,
1,Bystraja District__Conversations__Adukanova_Ichanga_Managic__Managic.eaf,"id, tx (латиница)",
2,Bystraja District__Conversations__Paderina_JI_Egorova_RM_conversation_Esso__Paderina_JI_Egorova_RM_razgovor_070709_Esso.eaf,ev (кириллица),
3,Bystraja District__Narratives__Folklore__Egorova_RM_fox_wolf__Egorova_RM_fox_wolf_Esso_240609.eaf,"id, tx (латиница) не связаны!, ft объединяет",
4,Bystraja District__Narratives__Folklore__Egorova_RM_Uindja__Egorova_RM_Uindja_Esso_240609.eaf,"id, tx (латиница) не связаны!, ft объединяет",
5,Bystraja District__Narratives__Folklore__Lomovceva_Grigorieva_Duo__Kam10_Lomovceva_Grigorieva_Duo.eaf,"id, tx (латиница) не связаны!, ft объединяет, ev с кириллицей",
6,Bystraja District__Narratives__Personal Narratives__Adukanova_DB_life__Adukanova_Darja_Borisovna_2010_02_01.eaf,"id, tx (латиница)",
7,Bystraja District__Narratives__Personal Narratives__Adukanova_EG_Managic__Adukanova_EG_Managic.eaf,"id, tx (латиница)",
8,Bystraja District__Narratives__Personal Narratives__Amganov_EI_crossing_river_140609__Amganov_EI_crossing_river.eaf,"id, tx (латиница)",
9,Bystraja District__Narratives__Personal Narratives__Amganov_EI_ducks_Esso_140609__Amganov_EI_ducks_Esso_140609.eaf,"id, tx (латиница)",
10,Bystraja District__Narratives__Personal Narratives__Amganov_EI_eggs_Esso_140609__Amganov_eggs.eaf,"id, tx (латиница)",
11,Bystraja District__Narratives__Personal Narratives__Amganov_EI_first_tractor__Amganov_EI_first_tractor_2010_01_30.eaf,"id, tx (латиница)",
12,Bystraja District__Narratives__Personal Narratives__Amganov_EI_food_from_sky_Esso_140609__Amganov_food_from_sky.eaf,"id, tx (латиница)",
13,Bystraja District__Narratives__Personal Narratives__Amganov_EI_kids_uphill_Esso_140609__Amganov_kids_uphill.eaf,"id, tx (латиница)",
14,Bystraja District__Narratives__Personal Narratives__Amganov_EI_kino_Esso_140609__Amganov_kino.eaf,"id, tx (латиница)",
15,Bystraja District__Narratives__Personal Narratives__Amganov_EI_leaving_Twajan__Amganov_EI_leaving_Twajan_2010_01_30.eaf,"id, tx (латиница) не связаны!, ft объединяет",
